ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-03-045811-7	"供应链管理 / 樊雪梅, 张国权, 王洪鑫主编"	"北京: 科学出版社, 2016"	F252/748	第一书库（综合图书馆）	
978-7-302-48029-7	物流信息系统管理 / 傅莉萍编著	"北京: 清华大学出版社, 2017"	F252-39/36	第一书库（综合图书馆）	
978-7-03-052340-2	"采购管理实务 / 霍红, 徐玲玲, 张玉斌主编"	"北京: 科学出版社, 2017"	F253.2/18	第一书库（综合图书馆）	
978-7-5641-7335-7	物流信息技术 / 编著何杰	"南京: 东南大学出版社, 2017"	F253.9/113	第一书库（综合图书馆）	
978-7-115-45681-6	"物流信息技术实用教程== Logistics information technology practical course / 侯安才, 张强华编著 eng"	"北京: 人民邮电出版社, 2017"	F253.9/114	第一书库（综合图书馆）	
978-7-5136-4574-4	采购主管实操范例 / 陈明星主编	"北京: 中国经济出版社, 2017"	F253/196	第一书库（综合图书馆）	
978-7-5136-4575-1	仓储主管实操范例 / 陈明星主编	"北京: 中国经济出版社, 2017"	F253/197	第一书库（综合图书馆）	
978-7-5047-6527-7	"第三方物流企业经营管理 / 主编黄远新, 田红英"	"北京: 中国财富出版社, 2017"	F253/198	第一书库（综合图书馆）	
978-7-122-29320-6	一本书搞懂采购 / 符胜利主编	"北京: 化学工业出版社, 2017"	F253/199	第一书库（综合图书馆）	
978-7-302-46524-9	"全球战略采购最佳实践== Strategic global sourcing best practices / (美) 弗雷德·索利施, 约翰·赛曼尼克著; 张思琴译 eng"	"北京: 清华大学出版社, 2017"	F253/200	第一书库（综合图书馆）	
978-7-5663-1794-0	跨境电商供应链管理 / 鄂立彬编著	"北京: 对外经济贸易大学出版社, 2017"	F253/201	第一书库（综合图书馆）	
978-7-111-57707-2	物流4.0: 驱动中国物流互联网化转型的百张脑图 / 汉森商学院编著	"北京: 机械工业出版社, 2017"	F259.22/46	第一书库（综合图书馆）	
978-7-5096-4491-1	创业基础与实务== Basic knowledge and practice of business startups / 主编陈工孟 eng	"北京: 经济管理出版社, 2016"	F270/865:上	第一书库（综合图书馆）	
978-7-115-46216-9	管理就是定计划抓结果: 企业计划制定与落地执行全案 / 崔洋著	"北京: 人民邮电出版社, 2017"	F270/866	第一书库（综合图书馆）	
978-7-121-32144-3	连接: 打造卓越CEO跨界竞争力 / 胡耀元著	"北京: 电子工业出版社, 2017"	F271/48	第一书库（综合图书馆）	
978-7-5699-1199-2	"经营战略 / 顾彼思商学院, (日) 青井博幸著; 赵海涛, 王玉华译"	"北京: 北京时代华文书局, 2017"	F272.1/15	第一书库（综合图书馆）	
978-7-111-57613-6	有序创业24步法== Disciplined entrepreneurship: 创新型创业成功的方法论 / (美)比尔·奥莱特著; 徐中译 eng	"北京: 机械工业出版社, 2017"	F272.2/30	第一书库（综合图书馆）	
978-7-121-31302-8	"寸进式创业== The game of inches: 小变化带来大收获 / (澳) 奈杰尔·科林著; 陈劲, 戴瑞克译 eng"	"北京: 电子工业出版社, 2017"	F272.3/75	第一书库（综合图书馆）	
978-7-302-46944-5	迈向企业互联网化: 社会化商业的香格里拉 / 崔晓阳著	"北京: 清华大学出版社, 2017"	F272.7/92	第一书库（综合图书馆）	
978-7-115-45503-1	"大数据专家: 小企业也能用好大数据 / (美) Bernard Marr著; 宫鑫, 刘姝汶, 刘婷婷译"	"北京: 人民邮电出版社, 2017"	F272.7/93	第一书库（综合图书馆）	
978-7-121-31438-4	大数据之路: 阿里巴巴大数据实践 / 阿里巴巴数据技术及产品部著	"北京: 电子工业出版社, 2017"	F272.7/94	第一书库（综合图书馆）	
978-7-111-57287-9	"OKR: 源于英特尔和谷歌的目标管理利器 / (美) 保罗·R.尼文, (美) 本·拉莫尔特著== Objectives and key results: Driving focus, alignment, and engagement with OKRs / Paul R. Niven, Ben Lamorte; 况阳译 eng"	"北京: 机械工业出版社, 2017"	F272.7/95	第一书库（综合图书馆）	
978-7-302-47828-7	"虚拟商业社会环境（VBSE）跨专业综合实训教程 / 樊颖, 史建军主编"	"北京: 清华大学出版社, 2017"	F272.7/96	第一书库（综合图书馆）	
