ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-5699-1483-2	世界500强对外演示制作方法与说服技巧== 社外プレゼンの資料作成術 / (日) 前田镰利著; 范丹译 jpn	"北京: 北京时代华文书局, 2017"	H019/268	第二书库（六教一楼）	
978-7-300-24870-7	"TED演讲的秘密: 18分钟改变世界: 双语版 / (美) 杰瑞米·多诺万著== How to deliver a ted talk: secrets of the world's most inspiring presentations / Jeremey Donovan; 冯颙, 安超译 eng"	"北京: 中国人民大学出版社, 2017"	H019/269	第二书库（六教一楼）	
978-7-307-19422-9	聆听:向死而生 / (法) 菲利普·纳西夫著; 王倩译	"武汉: 武汉大学出版社, 2017"	H033/78	第二书库（六教一楼）	
978-7-308-16982-0	完美演讲== Successful presenting / (英) 戴维·布朗著; 杨景皓译 eng	"杭州: 浙江大学出版社, 2017"	H109/3	第二书库（六教一楼）	
978-7-308-17065-9	商务写作课 / (英) 马丁·曼瑟著== Effective business writing / Martin Manser; 余悦译 eng	"杭州: 浙江大学出版社, 2017"	H152.3/482	第二书库（六教一楼）	
978-7-121-30277-0	实用文书写作== Practical writing / 主编陈苏彬 eng	"北京: 电子工业出版社, 2017"	H152.3/483	第二书库（六教一楼）	
978-7-5682-4361-2	"经济应用文写作 / 主编陈丽红, 王晓祥, 王丹丹"	"北京: 北京理工大学出版社, 2017"	H152.3/484	第二书库（六教一楼）	
978-7-121-30988-5	"财经应用文写作 / 陈文渊,黄绮冰,周颖丽主编"	"北京: 电子工业出版社, 2017"	H152.3/485	第二书库（六教一楼）	
978-7-301-28000-3	"大学语文 / 主编程箐, 刘汉波"	"北京: 北京大学出版社, 2017"	H193.9/4	第二书库（六教一楼）	
978-7-5180-3648-6	"古文观止全鉴: 珍藏版 / (清) 吴楚材, 吴调侯编选; 东篱子解译"	"北京: 中国纺织出版社, 2017"	H194.1/38	第二书库（六教一楼）	
978-7-5327-7531-6	"四级词汇精讲精练 / 黄晓静, 郑婕主编"	"上海: 上海译文出版社, 2017"	H195.4/55	第二书库（六教一楼）	
978-7-5500-2428-1	"嗨, 早知道英语我就这么学了: 管鑫Sam的英语高手养成手记 / 管鑫Sam著"	"南昌: 百花洲文艺出版社, 2017"	H31/2056	第二书库（六教一楼）	
978-7-5180-3295-2	图解美国人每天必用的单词句型== Mind map English / Proud出版社编辑部编著 eng	"北京: 中国纺织出版社, 2017"	H313.1/602	第二书库（六教一楼）	
978-7-5170-5488-7	单词密码== Word's secret 突破英文词汇5000 / 胡惠芳编著 eng	"北京: 中国水利水电出版社, 2017"	H313/479	第二书库（六教一楼）	
978-7-100-14108-6	薄冰英语冠词== English articles / 薄冰编著 eng	"北京: 商务印书馆, 2017"	H314.2/39	第二书库（六教一楼）	
978-7-5600-2707-4	新编大学英语语法与练习 xin bian da xue ying yu yu fa yulian xi / 陈仲利主编	"北京: 外语教学与研究出版社, 2002"	H314/381	第二书库（六教一楼）	
978-7-5643-5370-4	我的英文名叫“笨”== A wake-up call to English learning / (新) Andrew·蒋著; 肖渊译 eng	"成都: 西南交通大学出版社, 2017"	H319.3/115	第二书库（六教一楼）	
978-7-5103-1911-2	大学英语教学模式问题与对策研究 / 冯改著	"北京: 中国商务出版社, 2017"	H319.3/116	第二书库（六教一楼）	
978-7-5628-5105-9	超好记超好用的四级单词练习本 / 主编金利	"上海: 华东理工大学出版社, 2017"	H319.34/46	第二书库（六教一楼）	
978-7-5628-5106-6	超好记超好用的六级单词练习本 / 主编金利	"上海: 华东理工大学出版社, 2017"	H319.34/47	第二书库（六教一楼）	
978-7-307-19312-3	走进英国== Understanding the UK / 艾蓉 ... [等] 编	"武汉: 武汉大学出版社, 2017"	H319.37/68	第二书库（六教一楼）	
978-7-5672-2146-8	"英国文学选读== Selected readings in English literature / 主编方红, 朱新福 eng"	"苏州: 苏州大学出版社, 2017"	H319.37/69	第二书库（六教一楼）	
978-7-5605-9801-7	新编英国文学选读== Selected readings of English literature / 主编李公昭 eng	"西安: 西安交通大学出版社, 2017"	H319.4/1538	第二书库（六教一楼）	
978-7-308-17280-6	"中国文化阅读== Chinese culture reading in English: 3000单词话中国 / 黄建滨, 阮丹主编 eng"	"杭州: 浙江大学出版社, 2017"	H319.4/1539	第二书库（六教一楼）	
978-7-5605-9832-1	新编美国文学选读== Selected readings of American literature / 主编李公昭 eng	"西安: 西安交通大学出版社, 2017"	H319.4/1540	第二书库（六教一楼）	
978-7-302-46017-6	"美英报刊选读 / 郭印, 毕纪芹主编"	"北京: 清华大学出版社, 2017"	H319.4/1541	第二书库（六教一楼）	
978-7-302-22016-9	英语报刊选读教程== Acourse of English newspaper and magazine reading / 胡阳编著 eng	"北京: 清华大学出版社, 2010"	H319.4/1542	第二书库（六教一楼）	
978-7-100-11618-3	韩汉谚语惯用语成语词典 / 金玉兰编	"北京: 商务印书馆, 2017"	H556/10	第二书库（六教一楼）	
978-7-5086-7405-6	"杰克·韦尔奇自传== Jack straight from the gut / (美) 杰克·韦尔奇, 约翰·拜恩著; 曹彦博, 孙立明, 丁浩译 eng"	"北京: 中信出版社, 2017"	K837.125.38/40	第二书库（六教一楼）	
978-7-01-018109-7	"延长的万物之尺: 计算科学、经验主义与科学方法== Extending ourselves: computational science, empiricism, and scientific method / (美) 保罗·汉弗莱斯著; 苏湛译 eng"	"北京: 人民出版社, 2017"	N02/24	第二书库（六教一楼）	
978-7-5442-8756-2	假设的世界: 一切不能想当然 / (日) 竹内薰著; 曹逸冰译	"海口: 南海出版公司, 2017"	N02/25	第二书库（六教一楼）	
978-7-5168-1289-1	自然史 / (法) 乔治.布封著; 桂金译	"北京: 台海出版社, 2017"	N091/42	第二书库（六教一楼）	
978-7-5113-7006-8	发明简史: 听房龙讲发明的故事 / (美) 亨德里克·威廉·房龙著; 辛怡译	"北京: 中国华侨出版社, 2017"	N091-49/2	第二书库（六教一楼）	
978-7-100-13248-0	如果没有达尔文== Darwin deleted: 基于科学的推想 / (英) 彼得·J. 鲍勒著; 薛妍译 eng	"北京: 商务印书馆, 2017"	N091-49/3	第二书库（六教一楼）	
978-7-03-027134-1	贪玩的人类: 那些把我们带进科学的人 / 老多著	"北京: 科学出版社, 2010"	N19/18:1	第二书库（六教一楼）	
978-7-5428-6577-9	古怪的科学: 如何解释幽灵、巫术、UFO和其他超自然现象 / (英) 迈克尔·怀特著; 高天羽译	"上海: 上海科技教育出版社, 2017"	N49/106	第二书库（六教一楼）	
978-7-5086-7337-0	我的好奇心橱柜== Cabinet of curiosities / (美) 戈登·格赖斯著; 陈阳译 eng	"北京: 中信出版集团股份有限公司, 2017"	N49/107	第二书库（六教一楼）	
978-7-5448-4957-9	"万物简史 / (美) 比尔·布莱森著; 严维明, 陈邕译"	"南宁: 接力出版社, 2017"	N49/246	第二书库（六教一楼）	
978-7-121-31937-2	图案密码: 大自然的艺术与科学== Patterns in nature: why the natural world looks the way it does / (美) 菲利普·鲍尔著; 李祖凰译 eng	"北京: 电子工业出版社, 2017"	N49/247	第二书库（六教一楼）	
978-7-300-23816-6	"安妮聊数学 / (英) 安妮·鲁尼著== The 15-minute mathematician / Anne Rooney; 卢健, 潘晨译 eng"	"北京: 中国人民大学出版社, 2017"	O1/110	第二书库（六教一楼）	
978-7-5086-4689-3	"数学颂 / (法) 阿兰·巴迪欧, (法) 吉尔·艾利著== Eloge des mathematiques / Alain Badiou, Gilles Haeri; 蓝江译 fre"	"北京: 中信出版社, 2017"	O1-0/26	第二书库（六教一楼）	
978-7-308-17035-2	"数学与人类文明 / 韩祥临, 徐锋著"	"杭州: 浙江大学出版社, 2017"	O1-05/7	第二书库（六教一楼）	
978-7-03-053722-5	大学生数学竞赛指导全书: 非数学类 / 董秋仙主编	"北京: 科学出版社, 2017"	O13/521	第二书库（六教一楼）	
978-7-03-053851-2	"高等数学同步学习辅导 / 曹殿立, 苏克勤主编"	"北京: 科学出版社, 2017"	O13/522:上	第二书库（六教一楼）	
978-7-03-053852-9	"高等数学同步学习辅导 / 曹殿立, 苏克勤主编"	"北京: 科学出版社, 2017"	O13/522:下	第二书库（六教一楼）	
978-7-122-30378-3	高等数学学习指南 / 陈明明 ... 等编著	"北京: 化学工业出版社, 2017"	O13/523	第二书库（六教一楼）	
978-7-5114-4519-3	"高等数学实践教程 / 丁平, 刘洋编著"	"北京: 中国石化出版社, 2017"	O13/524	第二书库（六教一楼）	
978-7-04-047951-5	计数之乐== The pleasures of counting / T.W. Korner著; 涂泓译 eng	"北京: 高等教育出版社, 2017"	O1-49/70	第二书库（六教一楼）	
978-7-5428-6602-8	数字的秘密生活: 最有趣的50个数学故事== The secret life of numbers: so easy pieces on how mathematicians work and think / 乔治·G·斯皮罗著; 郭婷玮译 eng	"上海: 上海科技教育出版社, 2017"	O1-49/71	第二书库（六教一楼）	
978-7-5484-3004-9	数学大师的经典谜题 / 侯瑞光著	"哈尔滨: 哈尔滨出版社, 2017"	O1-49/72	第二书库（六教一楼）	
978-7-5428-6593-9	数学的秘密生命== A mathematical medley: 最迷人的50个数学大发现 / (美) 乔治·G·斯皮罗著; 郭婷玮译 eng	"上海: 上海科技教育出版社, 2017"	O1-49/73	第二书库（六教一楼）	
978-7-5478-3540-1	数学和数学家的故事 / (美)李学数编著	"上海: 上海科学技术出版社, 2015"	O1-49/74:7	第二书库（六教一楼）	
978-7-03-053869-7	概率统计与数学模型 / 电子科技大学成都学院大学数学教研室编	"北京: 科学出版社, 2017"	O21/182	第二书库（六教一楼）	
978-7-111-57921-2	"实用数据分析== Practical data analysis / (美) 赫克托·奎斯塔, 桑帕斯·库马尔著; 刁晓纯译 eng"	"北京: 机械工业出版社, 2017"	O212.1/34	第二书库（六教一楼）	
978-7-5608-7211-7	应用多元统计分析== Applied multivariate statistical analysis / 韩明编著 eng	"上海: 同济大学出版社, 2017"	O212.4/16	第二书库（六教一楼）	
978-7-122-29984-0	"试验设计及软件应用 / 郭明, 冯彬, 管宇主编"	"北京: 化学工业出版社, 2017"	O212.6/6	第二书库（六教一楼）	
978-7-111-57834-5	运筹学 / 主编孔造杰	"北京: 机械工业出版社, 2017"	O22/71	第二书库（六教一楼）	
978-7-121-32045-3	"建模与仿真理论: 集成离散事件与连续复杂动态系统 / (美) 伯纳德·P·齐格勒, (韩) 金泰刚, (奥) 赫伯特·普瑞霍夫著; 李革等译"	"北京: 电子工业出版社, 2017"	O22/72	第二书库（六教一楼）	
978-7-115-45670-0	线性系统理论与设计 / 韩敏编著	"北京: 人民邮电出版社, 2017"	O231/35	第二书库（六教一楼）	
978-7-121-32373-7	模式识别及MATLAB实现: 学习与实验指导 / 郭志强主编	"北京: 电子工业出版社, 2017"	O235/10	第二书库（六教一楼）	
978-7-302-47925-3	ABAQUS 2016有限元分析从入门到精通 / CAD/CAM/CAE技术联盟编著	"北京: 清华大学出版社, 2017"	O241.82/45	第二书库（六教一楼）	
978-7-115-45469-0	"ANSYS CFD疑难问题实例详解 / 胡坤, 顾中浩, 马海峰著"	"北京: 人民邮电出版社, 2017"	O241.82/46	第二书库（六教一楼）	
978-7-111-57223-7	"ANSYS 18.0热力学有限元分析从入门到精通 / 贾长治, 胡仁喜, 康士廷等编著"	"北京: 机械工业出版社, 2017"	O241.82/47	第二书库（六教一楼）	
978-7-111-57461-3	"ANSYS 18.0有限元分析学习宝典 / 贾雪艳, 刘平安 ... [等]编著"	"北京: 机械工业出版社, 2017"	O241.82/48	第二书库（六教一楼）	
978-7-302-46304-7	ANSYS Workbench 16.0有限元分析从入门到精通 / CAD/CAM/CAE技术联盟编著	"北京: 清华大学出版社, 2017"	O241.82/49	第二书库（六教一楼）	
978-7-302-47401-2	ADINA分析基础与工程实践 / 高霖 ... [等] 著	"北京: 清华大学出版社, 2017"	O241.82/50	第二书库（六教一楼）	
978-7-111-57211-4	"ANSYS 17.0有限元分析完全自学手册 / 贾长治, 李志尊等编著"	"北京: 机械工业出版社, 2017"	O241.82/51	第二书库（六教一楼）	
978-7-03-053644-0	"数值分析与计算方法 / 雷金贵, 李建良, 蒋勇主编"	"北京: 科学出版社, 2017"	O241/91	第二书库（六教一楼）	
978-7-5682-4707-8	"理论力学 / 主编崔红光, 张本华"	"北京: 北京理工大学出版社, 2017"	O31/63	第二书库（六教一楼）	
978-7-109-22443-8	物理学学习指导 / 姜永超，曹学成主编	"北京: 中国农业出版社, 2017"	O4/254	第二书库（六教一楼）	
978-7-5428-5857-3	"你错了，爱因斯坦先生！: 牛顿、爱因斯坦、海森伯和费恩曼探讨量子力学的故事 / (德) 哈拉尔德·弗里奇著; 邢志忠, 邢紫烟译"	"上海: 上海科技教育出版社, 2017"	O413.1/30	第二书库（六教一楼）	
978-7-04-048366-6	光学== Optics / 郭永康主编 eng	"北京: 高等教育出版社, 2017"	O43/32	第二书库（六教一楼）	
978-7-111-57812-3	"大学物理实验教程 / 主编何志巍, 朱世秋, 徐艳月"	"北京: 机械工业出版社, 2017"	O4-33/117	第二书库（六教一楼）	
978-7-04-048330-7	"大学物理实验 / 主编艾剑锋, 陈渊"	"北京: 高等教育出版社, 2017"	O4-33/118	第二书库（六教一楼）	
978-7-03-054142-0	数字化物理实验设计与案例 / 丁益民编著	"北京: 科学出版社, 2017"	O4-33/119	第二书库（六教一楼）	
978-7-5606-4479-0	电磁场与电磁波 / 曹祥玉 ... [等] 编著	"西安: 西安电子科技大学出版社, 2017"	O441.4/57	第二书库（六教一楼）	
978-7-5606-4631-2	"电磁场与电磁波 / 郭辉萍, 刘学观编著"	"西安: 西安电子科技大学出版社, 2017"	O441.4/58	第二书库（六教一楼）	
978-7-5605-9866-6	"电磁场与电磁波学习辅导 / 冯恩信, 张安学编著"	"西安: 西安交通大学出版社, 2017"	O441.4/59	第二书库（六教一楼）	
978-7-115-45330-3	物理是什么 / (日) 朝永振一郎著; 周自恒译	"北京: 人民邮电出版社, 2017"	O4-49/27	第二书库（六教一楼）	
978-7-03-047724-8	"数字文明: 物理学和计算机 / 郝柏林, 张淑誉著"	"北京: 科学出版社, 2017"	O4-49/28	第二书库（六教一楼）	
978-7-111-56875-9	"高温超导技术在电力装备中的应用 / (美) 斯沃恩·辛格·卡尔斯著; 丘明, 诸嘉慧译"	"北京: 机械工业出版社, 2017"	O511/5	第二书库（六教一楼）	
978-7-303-22099-1	"热学 / 管靖, 熊刚, 杨晓荣编"	"北京: 北京师范大学出版社, 2017"	O551/11	第二书库（六教一楼）	
978-7-115-45336-5	隐匿的宇宙: 用基本粒子揭开宇宙之谜 / (日) 村山齐著; 逸宁译	"北京: 人民邮电出版社, 2017"	O572.2/7	第二书库（六教一楼）	
978-7-04-048292-8	"无机与分析化学 / 和玲, 李银环主编"	"北京: 高等教育出版社, 2017"	O61/131	第二书库（六教一楼）	
978-7-122-29923-9	"无机及分析化学实验 / 龚银香, 童金强主编"	"北京: 化学工业出版社, 2017"	O61-33/78	第二书库（六教一楼）	
978-7-122-30242-7	有机反应机理解析与应用== Analysis and application of organic reaction mechanism / 陈荣业著 eng	"北京: 化学工业出版社, 2017"	O621.25/19	第二书库（六教一楼）	
978-7-312-04175-4	"微型化学实验及教学案例设计== Microscale chemistry experiment and teaching case design / 主编毕建洪, 董华泽, 夏建华 eng"	"合肥: 中国科学技术大学出版社, 2017"	O6-3/153	第二书库（六教一楼）	
978-7-03-053363-0	大学化学实验 / 包新华 ... [等] 主编	"北京: 科学出版社, 2017"	O6-3/154	第二书库（六教一楼）	
978-7-122-29718-1	"计算机在化学化工中的应用 / 程德军, 杜怀明, 曾宪光等编"	"北京: 化学工业出版社, 2017"	O6-39/14	第二书库（六教一楼）	
978-7-122-30353-0	计算机在化学化工中的应用 / 方利国编著	"北京: 化学工业出版社, 2017"	O6-39/15	第二书库（六教一楼）	
978-7-03-053461-3	化学教育研究案例与实践 / 主编杜正雄	"北京: 科学出版社, 2017"	O6-4/3	第二书库（六教一楼）	
978-7-04-048038-2	结构化学 / 李炳瑞编著	"北京: 高等教育出版社, 2017"	O641/18	第二书库（六教一楼）	
978-7-305-18412-3	"分析化学 / 主编陈国松, 张莉莉"	"南京: 南京大学出版社, 2017"	O65/131	第二书库（六教一楼）	
978-7-109-22274-8	分析化学实验 / 陈浩，李胜清主编	"北京: 中国农业出版社, 2016"	O652.1/52	第二书库（六教一楼）	
978-7-03-053875-8	仪器分析实验 / 主编陈怀侠	"北京: 科学出版社, 2017"	O657-33/41	第二书库（六教一楼）	
978-7-5086-7699-9	"引力波 / (美) 珍娜·莱文著== Black hole blues and other songs from outer space / Janna Levin; 胡小锐, 万慧译 eng"	"北京: 中信出版集团股份有限公司, 2017"	P142.8/2	第二书库（六教一楼）	
978-7-5113-6725-9	上知天文 下知地理 / 谷峰著	"北京: 中国华侨出版社, 2017"	P1-49/30	第二书库（六教一楼）	
978-7-100-15349-2	梦天新集: 星星离我们有多远 / 卞毓麟著	"北京: 商务印书馆, 2017"	P1-49/31	第二书库（六教一楼）	
978-7-5502-8513-2	"宇宙信息图: 第一本可视化宇宙简史 / (英) 斯图亚特·洛维, 克里斯·诺斯著== Cosmos: the infographic book of space / Stuart Lowe, Chris North; 邹熙译 eng"	"北京: 北京联合出版公司, 2017"	P159/34	第二书库（六教一楼）	
978-7-5086-7784-2	"我们人类的宇宙== You are here: 138亿年的演化史诗 / (英) 克里斯托弗·波特著; 曹月, 包慧琦译 eng"	"北京: 中信出版集团, 2017"	P159-49/43	第二书库（六教一楼）	
978-7-213-08378-5	"宇宙: 从起源到未来 / (美) 约翰·布罗克曼编著== The universe: leading scientists explore the origin, mysteries, and future of the cosmos / John Brockman; 高爽译 eng"	"杭州: 浙江人民出版社, 2017"	P159-49/44	第二书库（六教一楼）	
978-7-213-07980-1	穿越平行宇宙== Our mathematical universe / (美) 迈克斯·泰格马克著; 汪婕舒译 eng	"杭州: 浙江人民出版社, 2017"	P159-49/45	第二书库（六教一楼）	
978-7-5133-2405-2	"地球之美== Le beau livre de la terre: 一部看得见的地球简史 / (法) 帕特里克·德韦弗著; (法) 让－弗朗索瓦·布翁克里斯蒂亚尼绘; 秦淑娟, 张琦译 fre"	"北京: 新星出版社, 2017"	P183/5	第二书库（六教一楼）	
978-7-100-12879-7	"盖娅时代: 地球传记 / (英) 詹姆斯·拉伍洛克著; 肖显静, 范祥东译"	"北京: 商务印书馆, 2017"	P183/6	第二书库（六教一楼）	
978-7-5357-9215-0	"错觉在或不在, 时间都在: 人对时间的感知如何形成 / (英) 克劳迪娅·哈蒙德著; 桂江城译"	"长沙: 湖南科学技术出版社, 2017"	P19/5	第二书库（六教一楼）	
978-7-5086-7934-1	"大历史, 小世界== Big history, small world: 从大爆炸到你 / (美) 辛西娅·斯托克斯·布朗著; 徐彬, 于秀秀, 刘晓婷译 eng"	"北京: 中信出版社, 2017"	P311/2	第二书库（六教一楼）	
978-7-5478-3651-4	新水源: 干涸世界的希望 / (美) 朱迪思·D. 施瓦茨著; 汤秋鸿译	"上海: 上海科学技术出版社, 2017"	P33/3	第二书库（六教一楼）	
978-7-116-10154-8	云南矿物珍宝 / 崔银亮 ... [等] 著	"北京: 地质出版社, 2016"	P573/2	第二书库（六教一楼）	
978-7-122-30187-1	宝石资源与矿床== Gem resources and mineral deposits / 霍红主编 eng	"北京: 化学工业出版社, 2017"	P619.28/23	第二书库（六教一楼）	
978-7-5038-8701-7	景观生态学 / 郭晋平主编	"北京: 中国林业出版社, 2016"	P9/15	第二书库（六教一楼）	
978-7-308-16560-0	"生命的起源== Origins of life / (美) 弗里曼·戴森著; 林开亮, 刘少敏译 eng"	"杭州: 浙江大学出版社, 2017"	Q10/7	第二书库（六教一楼）	
978-7-5487-2377-6	生物化学 / 李常健编著	"长沙: 中南大学出版社, 2017"	Q5/95	第二书库（六教一楼）	
978-7-5478-3617-0	生物化学 / 主编金国琴，柳春主编	"上海: 上海科学技术出版社, 2017"	Q5/96	第二书库（六教一楼）	
978-7-03-048577-9	"生物化学与分子生物学实验教程 / 何凤田, 连继勤主编"	"北京: 科学出版社, 2016"	Q5-33/58	第二书库（六教一楼）	
978-7-5184-1526-7	高级微生物学 / 何培新主编	"北京: 中国轻工业出版社, 2017"	Q93/42	第二书库（六教一楼）	
978-7-03-051668-8	植物生物学 / 贺学礼主编	"北京: 科学出版社, 2017"	Q94/40	第二书库（六教一楼）	
978-7-5683-0142-8	"植物生理学教学实验指导 / 曹翠玲, 麻鹏达主编"	"陕西: 西北农林科技大学出版社, 2016"	Q945-33/2	第二书库（六教一楼）	
978-7-03-053621-1	植物化学== Phytochemistry / 高锦明主编 eng	"北京: 科学出版社, 2017"	Q946/6	第二书库（六教一楼）	
978-7-122-28768-7	身边的花草树木识别图鉴 / 耿世磊主编	"北京: 化学工业出版社, 2017"	Q949/11	第二书库（六教一楼）	
978-7-5596-0265-7	"动物如友邻: 生而为人的自我修养== Do unto animals: a friendly guide to how animals live, and how we can make their lives better / (美) 特蕾西·斯图尔特著; (美) 利塞尔·阿什洛克绘; 程孙雪子译 eng"	"北京: 北京联合出版公司, 2017"	Q95-49/24	第二书库（六教一楼）	
978-7-5086-7854-2	"我们人类的基因: 全人类的历史与未来 / (英) 亚当·卢瑟福著== A brief history of everyone who ever lived / Adam Rutherford; 严匡正, 庄晨晨译 eng"	"北京: 中信出版社, 2017"	Q981.1/6	第二书库（六教一楼）	
978-7-5086-7896-2	"我们人类的进化== Humankind: 从走出非洲到主宰地球 / (美) 亚历山大·H. 哈考特著; 李虎, 谢庶洁译 eng"	"北京: 中信出版集团股份有限公司, 2017"	Q981.1/7	第二书库（六教一楼）	
978-7-5086-5374-7	人类的故事== The story of mankind: 正式授权续写至21世纪 / (美) 亨德里克·威廉·房龙著; (美) 罗伯特·沙利文续写; 胡允桓译 eng	"北京: 中信出版集团股份有限公司, 2017"	Q98-49/10	第二书库（六教一楼）	
978-7-5189-2509-4	"更壮更瘦更强: 身体革命, 健身见真我== Bigger leaner stronger: the simple science of building the ultimate male body / (美) 迈克尔·马修斯著 / Michael Matthews; 凌云, 周娜译 eng"	"北京: 图: 机械工业出版社, 2017"	R161/125	第二书库（六教一楼）	
978-7-5638-2699-5	"报检与报关实务 / 主编顾永才, 王斌义"	"北京: 首都经济贸易大学出版社, 2017"	R185.3/7	第二书库（六教一楼）	
978-7-5130-4848-4	大脑如何工作: 大脑研究中的那些人和事 / (美) 戴尔·珀维斯著; 孙雅峰译	"北京: 知识产权出版社, 2017"	R338.2/10	第二书库（六教一楼）	
978-7-01-017723-6	大脑的辉煌与悲怆: 对于爱情、创造力以及人类幸福的求索 / (英) 萨米尔·泽基著; 孟凡君译	"北京: 人民出版社, 2017"	R338.2/9	第二书库（六教一楼）	
978-7-303-20548-6	"从自然到使然: 心理成熟背后的脑机制 / (英) 马克·约翰逊, 米歇尔·德·哈恩著== Developmental cognitive neuroscience / Mark H. Johnson, Michelle de Haan; 徐芬等译 eng"	"北京: 北京师范大学出版社, 2017"	R338/12	第二书库（六教一楼）	
978-7-5167-2431-6	"介护的创新: 日本介护服务业的形成、整合与发展 / (日) 田中滋, 栃本一三郎编著; 张清华译"	"北京: 中国劳动社会保障出版社, 2017"	R473/14	第二书库（六教一楼）	
978-7-5080-8908-9	"最后的拥抱== Final gifts / (美) 玛姬·克拉兰, (美) 派翠西亚·克莉著; 李文绮译 eng"	"北京: 华夏出版社, 2017"	R48/4	第二书库（六教一楼）	
978-7-5153-4776-9	"荷欧波诺波诺初体验 / (美) 伊贺列卡拉·修蓝, 卡麦拉·拉菲洛维奇著; 曹莺译"	"北京: 中国青年出版社, 2017"	R749.055/37	第二书库（六教一楼）	
978-7-109-21831-4	"基因工程制药综合实验指导 / 李德山, 王文飞, 任桂萍主编"	"北京: 中国农业出版社, 2016"	R977/6	第二书库（六教一楼）	
978-7-5628-5107-3	"工程数学 / 柴惠文, 姚永芳, 邓燕主编"	"上海: 华东理工大学出版社, 2017"	TB11/71	第二书库（六教一楼）	
978-7-03-054124-6	工程有限元与数值计算 / 陈雪峰 ... [等]编著	"北京: 科学出版社, 2017"	TB115/10	第二书库（六教一楼）	
978-7-5689-0668-5	工程流体力学 / 主编蒋新生	"重庆: 重庆大学出版社, 2017"	TB126/51	第二书库（六教一楼）	
978-7-5646-3404-9	工程流体力学 / 主编郭楚文	"徐州: 中国矿业大学出版社, 2017"	TB126/52	第二书库（六教一楼）	
978-7-5170-5668-3	实用人机工程学 / 主编陈波	"北京: 中国水利水电出版社, 2017"	TB18/43	第二书库（六教一楼）	
978-7-5117-3296-5	看不到高级 / 胡颖	"北京: 中央编译出版社, 2017"	TB21/57	第二书库（六教一楼）	
978-7-121-32471-0	设计中的逻辑== The logic in the design / ZCOOL站酷编著 eng	"北京: 电子工业出版社, 2017"	TB21/58	第二书库（六教一楼）	
978-7-121-31896-2	设计这件事: 设计大师的108个设计秘诀== School of graphic design / (日) 古平正义 ... [等] 著; 刘炯浩译 eng	"北京: 电子工业出版社, 2017"	TB21/59	第二书库（六教一楼）	
978-7-5680-2590-4	"设计师生存战== Stand out: 找出竞争力, 接案、求职战无不胜 / (美) 丹妮丝·安德森著; 张昭译 eng"	"武汉: 华中科技大学出版社, 2017"	TB21/60	第二书库（六教一楼）	
978-7-5594-0831-0	成为设计师的49堂课 / (日) 永井弘人著; 林藤译	"南京: 江苏凤凰文艺出版社, 2017"	TB21/61	第二书库（六教一楼）	
978-7-5680-3140-0	"工程测试与信号处理 / 主编蔡共宣, 林富生, 陈兴洲"	"武汉: 华中科技大学出版社, 2017"	TB22/27	第二书库（六教一楼）	
978-7-5689-0480-3	工程测量 / 主编邓文彬	"重庆: 重庆大学出版社, 2017"	TB22/28	第二书库（六教一楼）	
978-7-04-048371-0	工程测量 / 孔达主编	"北京: 高等教育出版社, 2017"	TB22/29	第二书库（六教一楼）	
978-7-121-32401-7	工程制图 / 黄玲主编	"北京: 电子工业出版社, 2017"	TB23/155	第二书库（六教一楼）	
978-7-5618-5861-5	"工程制图基础教程 / 董培蓓, 赵涛, 张五金主编"	"天津: 天津大学出版社, 2017"	TB23/156	第二书库（六教一楼）	
978-7-111-56297-9	Pro/ENGINEER中文野火版5.0工程图教程 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TB237/91	第二书库（六教一楼）	
978-7-5643-5661-3	"AutoCAD 2014工程绘图实例教程 / 主编贺振通, 徐光华, 武国平"	"成都: 西南交通大学出版社, 2017"	TB237/92	第二书库（六教一楼）	
978-7-5641-4881-2	材料成型与加工实验教程 / 雷文编著	"南京: 东南大学出版社, 2017"	TB324/30	第二书库（六教一楼）	
978-7-122-30443-8	材料化学实验 / 陈万平编著	"北京: 化学工业出版社, 2017"	TB3-33/6	第二书库（六教一楼）	
978-7-111-56725-7	"石墨烯== Graphene: 改变世界的新材料 / (英) 玛杜丽·沙伦, 马赫斯赫瓦尔·沙伦著; 张纯辉, 沈启慧译 eng"	"北京: 机械工业出版社, 2017"	TB383/50	第二书库（六教一楼）	
978-7-03-051902-3	数据驱动的非预期故障诊断理论及应用 / 何章鸣 ... [等] 著	"北京: 科学出版社, 2017"	TB4/55	第二书库（六教一楼）	
978-7-111-57560-3	百年流水线: 一部工业技术进步史 / (美) 大卫 E. 奈著; 史雷译	"北京: 机械工业出版社, 2017"	TB4/56	第二书库（六教一楼）	
978-7-122-30174-1	物理清洗技术及应用实例== Physical cleaning technology and application examples / 郭健等编著 eng	"北京: 化学工业出版社, 2017"	TB4/57	第二书库（六教一楼）	
978-7-122-28913-1	工业设计看这本就够了== Industrial design reading this is enough / 陈根编著 eng	"北京: 化学工业出版社, 2017"	TB47/120	第二书库（六教一楼）	
978-7-121-31733-0	工业设计概论: 全新图解 / 陈根编著	"北京: 电子工业出版社, 2017"	TB47/121	第二书库（六教一楼）	
